"name";"lat";"lng";"postal_code";"population"
"Valley Cottage, NY";41.1183;-73.943;"";10333
"Warwick, NY";41.2656;-74.3604;"";19678
"Washingtonville, NY";41.4237;-74.1601;"";9197
"West Haverstraw, NY";41.209;-73.9821;"";4996
"West Nyack, NY";41.0973;-73.9768;"";7652
"West Point, NY";41.393;-73.96485;"";6612
"Westtown, NY";41.3214;-74.5529;"";2824
"Floral Park, NY";40.7348;-73.709632;"";29576
"Elmont, NY";40.6976;-73.7049;"";45480
"Glen Oaks, NY";40.7481;-73.7114;"";14722
"Franklin Square, NY";40.701;-73.6758;"";24539
"Great Neck, NY";40.783958;-73.693397;"";41756
"Manhasset, NY";40.7934;-73.6888;"";17642
"New Hyde Park, NY";40.7448;-73.688899;"";41930
"Port Washington, NY";40.768172;-73.617551;"";30450
"Inwood, NY";40.6205;-73.7474;"";7701
"Long Island City, NY";40.744934;-73.9469;"";31469
"Astoria, NY";40.7676;-73.920475;"";149317
"Sunnyside, NY";40.7436;-73.9216;"";26102
"Brooklyn, NY";40.651556;-73.95453;"";2606852
"Flushing, NY";40.733191;-73.838736;"";220703
"College Point, NY";40.7855;-73.845;"";24405
"Whitestone, NY";40.7851;-73.8096;"";39259
"Bayside, NY";40.778733;-73.777466;"";48631
"Little Neck, NY";40.76565;-73.738999;"";25775
"Oakland Gardens, NY";40.7428;-73.7588;"";35068
"Fresh Meadows, NY";40.7323;-73.795;"";58659
"Corona, NY";40.7453;-73.8611;"";112982
"East Elmhurst, NY";40.7612;-73.88275;"";72268
"Jackson Heights, NY";40.7513;-73.883;"";64109
"Elmhurst, NY";40.7358;-73.87775;"";96616
"Rego Park, NY";40.7278;-73.8602;"";43158
"Forest Hills, NY";40.7229;-73.8473;"";71159
"Woodside, NY";40.745;-73.9069;"";90883
"Maspeth, NY";40.7239;-73.8997;"";33270
"Middle Village, NY";40.7173;-73.8792;"";36082
"Ridgewood, NY";40.70185;-73.9009;"";103372
"Cambria Heights, NY";40.6947;-73.7374;"";19300
"Saint Albans, NY";40.6958;-73.7617;"";37802
"Springfield Gardens, NY";40.6645;-73.7559;"";42699
"Howard Beach, NY";40.6588;-73.8438;"";28247
"Kew Gardens, NY";40.7069;-73.8297;"";19308
"Ozone Park, NY";40.68035;-73.8481;"";58886
"Richmond Hill, NY";40.6982;-73.8345;"";39908
"South Richmond Hill, NY";40.6868;-73.823;"";51642
"South Ozone Park, NY";40.6744;-73.819;"";50549
"Woodhaven, NY";40.6913;-73.8585;"";43341
"Rosedale, NY";40.6621;-73.7353;"";33408
"Hollis, NY";40.7142;-73.7677;"";31823
"Jamaica, NY";40.675283;-73.826409;"";243610
"Bellerose, NY";40.7347;-73.723;"";19991
"Queens Village, NY";40.719167;-73.7441;"";69416
"Mineola, NY";40.7469;-73.6398;"";19262
"Albertson, NY";40.7703;-73.6514;"";7330
"Atlantic Beach, NY";40.5887;-73.7255;"";2329
"Baldwin, NY";40.6548;-73.6097;"";33734
"Carle Place, NY";40.7512;-73.6119;"";4543
"Cedarhurst, NY";40.6236;-73.7264;"";7724
"East Rockaway, NY";40.6404;-73.6674;"";10192
"Freeport, NY";40.6536;-73.5866;"";43697
"Garden City, NY";40.726034;-73.6391;"";28463
"Glen Cove, NY";40.865;-73.6277;"";27676
"Glen Head, NY";40.8281;-73.6076;"";12694
"Glenwood Landing, NY";40.7548;-73.6018;"";837
"Greenvale, NY";40.8125;-73.6261;"";2858
"Hempstead, NY";40.709434;-73.613001;"";60599
"West Hempstead, NY";40.6929;-73.6539;"";24417
"Uniondale, NY";40.719067;-73.595565;"";26174
"East Meadow, NY";40.7149;-73.5561;"";37228
"Hewlett, NY";40.6404;-73.6957;"";6972
"Island Park, NY";40.604;-73.6554;"";8323
"Lawrence, NY";40.614;-73.733;"";8709
"Locust Valley, NY";40.8817;-73.5927;"";6354
"Long Beach, NY";40.5877;-73.6595;"";37544
"Lynbrook, NY";40.6571;-73.6741;"";22551
"Malverne, NY";40.675;-73.6731;"";8640
"Merrick, NY";40.6685;-73.5536;"";34232
"Old Westbury, NY";40.7882;-73.5875;"";4578
"Point Lookout, NY";40.5905;-73.5808;"";1229
"Rockville Centre, NY";40.6612;-73.6396;"";27463
"Oceanside, NY";40.6362;-73.6375;"";29295
"Roosevelt, NY";40.6802;-73.5867;"";16564
"Roslyn, NY";40.7984;-73.6477;"";12663
"Roslyn Heights, NY";40.7845;-73.6403;"";12888
"Sea Cliff, NY";40.846;-73.6436;"";5128
"Valley Stream, NY";40.6636;-73.708667;"";64625
"Westbury, NY";40.7557;-73.5723;"";47134
"Williston Park, NY";40.7592;-73.6449;"";10683
"Woodmere, NY";40.6326;-73.7141;"";13478
"Far Rockaway, NY";40.61626;-73.800912;"";76967
"Arverne, NY";40.5923;-73.7933;"";19403
"Rockaway Park, NY";40.5766;-73.8428;"";21219
"Breezy Point, NY";40.5594;-73.9067;"";3928
"Amityville, NY";40.6842;-73.4171;"";28139
"Babylon, NY";40.6957;-73.3257;"";13906
"North Babylon, NY";40.7321;-73.3236;"";16508
"West Babylon, NY";40.71585;-73.35445;"";40257
